age;bmi;classes;gender;height;user;weight;roll1;pitch1;total_accel_sensor_1;roll2;pitch2;total_accel_sensor_2;roll3;pitch3;total_accel_sensor_3;roll4;pitch4;total_accel_sensor_4
31;28.4;sittingdown;Man;1.71;wallace;83.0;135.0;2.8914168559049345;138.76959321119307;137.83411101630654;-0.4006338700434008;143.01398533010678;125.21759296819272;-6.268490754377661;146.53668482670133;-138.57633437499737;46.459609204272496;230.38012067016547
31;28.4;sittingdown;Man;1.71;wallace;83.0;136.15733306812953;2.8616765134438804;140.2105559506844;138.43363036245054;0.0;141.6756859873987;124.89496363496204;-5.902657639494152;145.8595214581482;-138.3664606634298;46.50702127511206;227.442300375282
31;28.4;sittingdown;Man;1.71;wallace;83.0;140.24713890161644;2.4685403874798197;139.30541985149034;140.56509883491165;0.413564886716125;138.54241227869537;124.79602627826831;-5.564717478398957;144.37451298619158;-139.35940784434484;46.38865704003003;229.2705825002414
31;28.4;sittingdown;Man;1.71;wallace;83.0;141.45881637871864;2.6565816578332657;151.02648774304458;133.0021201435233;0.47079877985255014;121.7004519301387;125.15886824036562;-4.06643256516307;141.01772938180503;-139.10279692324204;44.99746267782103;237.59840066801797
31;28.4;sittingdown;Man;1.71;wallace;83.0;150.01836063115067;2.289339894254806;150.2031957050182;134.29268063145577;-6.474094482768417;115.29527310345381;123.69006752597979;-3.4839658208781854;148.10131667206744;-138.9372251648241;44.65949740352101;246.12598400006448
31;28.4;sittingdown;Man;1.71;wallace;83.0;147.77124256490143;-0.7023991122389861;163.1471728225776;-140.0751202328835;31.5086643777219;937.5702640335817;124.61597931237986;-0.41727726214132;137.30986854556377;-142.15356431839442;45.48001756749395;251.04979585731593
31;28.4;sittingdown;Man;1.71;wallace;83.0;138.4473868518652;-0.9743860822313808;176.41428513586987;-140.11205484058937;31.543270160533936;940.4706268672085;122.09259132873417;6.958697151803028;140.31749712705113;-146.94417718844633;49.17355693225016;229.94782016796768
31;28.4;sittingdown;Man;1.71;wallace;83.0;128.27564690689036;-3.159412389147507;163.29727493133498;-140.1021652523582;31.487212132305018;932.3995924495034;122.96940390346215;6.895372893925849;133.27040181525678;-138.39971415912325;48.19385616494029;214.64854996016163
31;28.4;sittingdown;Man;1.71;wallace;83.0;126.95390899254761;-0.8400529667846157;136.4148085803004;-140.06616866256445;31.515761387678854;939.2938837232999;123.57593265799892;3.698523934171111;139.52060779684126;-131.3714678445636;42.04746824104951;195.59652348648734
31;28.4;sittingdown;Man;1.71;wallace;83.0;141.1886159632416;4.359078524918231;118.41030360572512;-140.0751202328835;31.5086643777219;937.5702640335817;124.92566726989725;-0.40496352289569076;141.48498153514387;-126.71931775727826;35.10798180344379;186.04838080456383
